pais,idioma_show,keyword,podcast_id,nombre_podcast,editorial,total_episodios,episodios_descargados,episodio_id,nombre_episodio,fecha_lanzamiento,duracion_min
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5SiGbNrBDU9UloeXfOfTnF,Retrospectiva 2024,2020-12-15,67.22
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,3vm0WeZb3YxAC5kHo4MBYH,Petit Invest 58 - A explosão do dólar: o que esperar?,2020-12-15,15.36
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,57XuJuEFpG26VL6vb9VwER,Bate-Papo 775 - Putin disposto a negociar Ucrânia com Trump,2020-12-15,30.05
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4DrktdzJJQppE4EblK4Wei,Bate-Papo 774 - Rússia captura suspeito de ataque a general,2020-12-15,31.79
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2DgOtNX5ANzAhjyTy8f2BV,Bate-Papo 773 - Novo governo sírio dialoga com a Europa,2020-12-15,32.15
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,35kZSV3xrz0qGUM3xp3Nzt,Bate-Papo 772 - Impeachment aprovado na Coreia do Sul,2020-12-15,31.62
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0y2pBRN9o8o27OVpboWar8,Petit Invest 57 - O novo primeiro-ministro francês e a economia,2020-12-15,19.39
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0pO169CMj5KGwYLnP6oVnX,Bate-Papo 771 - EUA e Turquia se movimentam na Síria,2020-12-15,32.36
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,11BS6q2GgCaZdgDeRm2cn5,Bate-Papo 770 - Presidente sul-coreano prestes a ser preso,2020-12-15,31.9
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5qSLO4MP6YKoOgnZLm9bL0,Bate-Papo 769 - Síria apresenta seu novo primeiro-ministro,2020-12-15,33.03
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6LHs74oNn8NrGu859WfkLW,Bate-Papo 768 - Reação regional à queda de Assad,2020-12-15,32.46
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,7arhMCp3TahitsyruldkAR,"BP Extra - Assad deposto, Síria em disputa",2020-12-15,34.84
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6OERjvGbBfbek6h8JbQTjr,Petit Invest 56 - Impactos do acordo Mercosul-UE,2020-12-15,17.12
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,77TpFzPeCkHIJxYSgRV28Z,Bate-Papo 767 - Os planos de Trump para a Ucrânia,2020-12-15,31.48
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,7se4oSNOLU8Bu6Aiil0Zmm,Bate-Papo 766 - Voto de desconfiança aprovado na França,2020-12-15,32.71
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,19KI8yZsWn9O67v0fDr1QK,Bate-Papo 765 - Coreia do Sul e o golpe abortado,2020-12-15,34.34
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,3YxC9Kv9YfarxyS251vQfh,Bate-Papo 764 - Rebeldes tomam a segunda maior cidade da Síria,2020-12-15,33.02
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6Fm0sN0IQ28ovZ4u27EYSf,Petit Invest 55 - Até onde vai o dólar?,2020-12-15,14.51
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,3TI5Dmriv8ukJiU2evxQZW,Bate-Papo 763 - Cessar-fogo é rompido no Líbano,2020-12-15,32.03
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4YJYPXmopOxFA5ziUiuEx5,Bate-Papo 762 - Governo francês balança,2020-12-15,30.1
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,51NAf6TUqK3Z9UlwTxQHTV,Bate-Papo 761 - O acordo de cessar-fogo no Líbano,2020-12-15,30.12
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5wmYl6HQOJYGgqjJOnqjbE,Bate-Papo 760 - Cessar-Fogo à Vista?,2020-12-15,30.64
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,107cb8Iqe4MKI5jH755WnF,Petit Invest 54 - A importância das reuniões de cúpula para a economia,2020-12-15,14.81
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,1ANxx8dmdTSitz8D3a0WL2,Bate-Papo 759 - TPI pede a prisão de Netanyahu,2020-12-15,32.04
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2Pnwrs1rqz9ekb4Us41QuO,Bate-Papo 758 - Xi Jinping visita Brasília,2020-12-15,31.12
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0efeOp7tRpyVkuaqOObWAe,Bate-Papo 757 - O encerramento da Cúpula do G20,2020-12-15,29.18
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,7KsxPAnYstvlqVUT9WvnYB,Bate-Papo 756 - A Cúpula do G20 no Rio de Janeiro,2020-12-15,34.72
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5ZUW6F4vpxxFG2huDDZ9jn,Petit Invest 53 - O impacto econômico da desregulamentação,2020-12-15,14.94
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,3O7INupyXE8k3EJI4XHKRq,Bate-Papo 755 - Netanyahu vai se apresentar diante da justiça,2020-12-15,32.29
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5j81oJjiJAa4TpDfbl5qqs,"Bate-Papo 754 - Milei, Trump e o futuro da Argentina",2020-12-15,31.48
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6sw10EZ7hYW0Y8pusuHG9A,"Bate-Papo 753 - Quem é Marco Rubio, possível secretário de Estado de Trump",2020-12-15,33.91
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,3C2YPTPhqhiydkmY2UKG6S,Bate-Papo 752 - Governo Trump começa a ganhar forma,2020-12-15,32.27
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5c0TPOukGDsNzMkGS2NvIH,Petit Invest 52 - A montanha-russa do dólar,2020-12-15,14.46
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5LPd3FOF5Nj5NyKsTB5HpN,Bate-Papo 751 - A Europa se prepara para as incertezas de Trump,2020-12-15,33.87
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,1QDFi4YksDDqHHjeWGikoP,Bate-Papo 750 - Trump presidente,2020-12-15,39.14
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4QnRqWRfLI7wacvfhsc08p,Bate-Papo 749 - O mundo prende a respiração,2020-12-15,28.68
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,44aXwVTGiVTWEtfBhlKNNX,Bate-Papo 748 - O cenário das eleições nos EUA,2020-12-15,31.07
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6jtftZVkcfZ8xUmclyPChy,Petit Invest 51 - O que esperar da economia brasileira em 2025?,2020-12-15,13.71
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2xv5ZWIopRYguj6x29RPup,Bate-Papo 747 - Coreia do Norte testa poderoso míssil intercontinental,2020-12-15,29.59
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,1XfgUK6KXHEnDeBUm2P5vK,Bate-Papo 746 - Nova crise entre Brasil e Venezuela,2020-12-15,33.49
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0xm9rnspai2XnUBH6eD63O,Bate-Papo 745 - Reta finalíssima das eleições americanas,2020-12-15,32.48
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2EVDIKDzLpDlXHLMvZFtyt,Bate-Papo 744 - A retaliação israelense ao Irã,2020-12-15,34.94
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6gx7maVavgS4ufBa1AEZ7S,Petit Invest 50 - Os BRICS e as oportunidades de investimentos,2020-12-15,15.62
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5Z5arJ7jdRyiAwea1n1dvw,Bate-Papo 743 - A histórica reaproximação entre China e Índia,2020-12-15,33.76
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2IRetXCcGdb0IlJ5KFTIaP,Bate-Papo 742 - O cenário nos EUA a duas semanas das eleições,2020-12-15,33.23
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6dg2gSqqxL0QsIupD4W5NJ,Bate-Papo 741 - Norte-Coreanos no exército russo?,2020-12-15,33.08
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,142GB9H6LHXW4lXEYDsYCo,Petit Invest 49 - Pesquisas eleitorais e investimentos,2020-12-15,13.97
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5n4qn1L14sARpCmNKrrojb,Bate-Papo 740 - A morte de novo líder do Hamas,2020-12-15,32.89
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4uoUdWMYirPVxaoVaW71yQ,Bate-Papo 739 - Zelensky apresenta seu plano de paz,2020-12-15,36.02
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,05O7bM1hmIixQbQKc8BGaA,Bate-Papo 738 - Por que o Canadá expulsou diplomatas indianos?,2020-12-15,31.37
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5JippZB4fQFLZsC8jX0J5Y,Bate-Papo 737 - China aumenta a pressão sobre Taiwan,2020-12-15,32.16
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4oA3lkDAHBgnyTbyzItd1Z,Petit Invest 48 - O Furacão Milton e seus impactos econômicos,2020-12-15,15.67
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4wiQGCrQulCIuZqNNk2PbL,Bate-Papo 736 - Apreensão no Golfo Pérsico: guerra e petróleo,2020-12-15,31.97
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6LhpitjNFFznUcV1yvZi5p,Bate-Papo 735 - Biden e Netanyahu debatem retaliação ao Irã,2020-12-15,30.87
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,3ClsWETNB6noaaq2JDhQup,Bate-Papo 734 - A eleição mais apertada do século nos EUA,2020-12-15,31.93
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4WbYtRJAkz4U7U7wi8Z2bb,Bate-Papo 733 - Um ano de guerra no Oriente Médio,2020-12-15,29.71
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0zj4dcCOTGgFLsyI4iXkav,Petit Invest 47 - O impacto da geopolítica nos investimentos,2020-12-15,16.15
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,1pISGCUha3YdJR3g1I7reZ,"Bate-Papo 732 - Israel, Irã e a disparada do petróleo",2020-12-15,33.22
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,66KxBI0BPifF5sefeyB0kF,Bate-Papo 731 - Aliados de Israel reagem ao ataque iraniano,2020-12-15,35.17
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,74EbXwvntsU8l1dNRJ3NkG,Bate-Papo 730 - Irã ataca Israel: e agora?,2020-12-15,33.52
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,1y2B5tOTyp9dEPlANfVZnL,Bate-Papo 729 - Israel inicia ofensiva por terra no Líbano,2020-12-15,34.8
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,1wi5zW8dFjoVp3IpmOjMzH,Petit Invest 46 - Como a nova política economica da China te afeta?,2020-12-15,14.82
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,36EMDgAyPVmuva1FbHXe2o,Bate-Papo 728 - O Oriente Médio e a Assembleia Geral da ONU,2020-12-15,30.45
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,72wV4eVo1ksBT4LtBuxIp0,Bate-Papo 727 - A abertura da Assembleia Geral da ONU,2020-12-15,31.77
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4YKqr3SGSZ0tJVSJMi1Hbj,Petit Convida 14 - João Gomes Cravinho,2020-12-15,41.92
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2RTE496yLnSHjSEvvnMwNC,Bate-Papo 726 - Bombardeios israelenses no Líbano,2020-12-15,34.15
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6sUYZC4LW3RBLM7ZtjR3PU,Petit Invest 45 - Juros mais baixos nos EUA e mais altos no Brasil: impactos,2020-12-15,13.6
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0rRZMZZX9LkkPNgsH0SqmD,Bate-Papo 725 - Rufam os tambores de guerra no Oriente Médio,2020-12-15,31.68
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2SE3LBzu38Wr1D9DD3oBff,Bate-Papo 724 - Como Israel explodiu os pagers e walkie-talkies do Hezbollah?,2020-12-15,32.81
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,7xuGJTaSXBRWYbHacnkXhq,Bate-Papo 723 - Israel ataca os bipes do Hezbollah,2020-12-15,31.35
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5AGu5n5EIcy2rswRhP1IPR,Bate-Papo 722 - Quem é o homem que planejou assassinar Trump?,2020-12-15,33.6
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,7pQGPUgTlpMLZHvVTBZaha,Petit Invest 44 - O impacto da superseca no seu bolso,2020-12-15,14.62
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,68nKFoHG9m3qquFQOT8VKX,Bate-Papo 721 - Contraofensiva russa em Kursk: e agora?,2020-12-15,31.94
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6b4PA7PhpTRI8CMYkJiCQh,Bate-Papo 720 - O debate nos EUA,2020-12-15,33.17
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,3iH1PEjUBE3Hn9X2ciOSsM,Bate-Papo 719 - Como os drones mudaram a história das guerras,2020-12-15,32.26
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0GFeYrye1e9pzVClZYoxee,Bate-Papo 718 - Por que os generais russos estão sendo presos?,2020-12-15,30.17
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,29kWh2mTQg6uHCW7CsnVIb,Bate-Papo 717 - Quem é o novo Primeiro-Ministro da França?,2020-12-15,30.28
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,7HsZIw16eHL0i6SiuakbuJ,Bate-Papo 716 - Espionagem chinesa em NY,2020-12-15,30.4
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2aOgXDd6ZoTFSd6O8ILUjb,Bate-Papo 715 - A Mongólia desafia o mundo,2020-12-15,32.0
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6bEAntdlqLAjlKBdGUbP2L,Bate-Papo 714 - Netanyahu vai cair?,2020-12-15,34.82
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,1XSda8D3yPiFuEWhkmIpZV,Petit Invest 43 - Euforia no Brasil e Bovespa nas máximas,2020-12-15,12.7
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,3xbNiPiWKBKfYfLTTcxviH,Bate-Papo 713 - O estado que vai decidir as eleições americanas,2020-12-15,32.27
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,7GVfXi5zXPOgSSpaWI7SEa,Bate-Papo 712 - Os republicanos e o Project 2025,2020-12-15,33.54
